algorithm,duration_s,throughput_mbps,avg_rtt_ms,retransmissions,fast_retransmissions,timeouts,link_drops,srtt_ms
aimd,0.391906333,0.41805907739694526,35.87435609108059,0,0,0,0,35.87435609108059
q_learning,0.39319637499999993,0.41668746310288346,5.54268393251631,0,0,0,0,5.707407764040851
