algorithm,duration_s,throughput_mbps,avg_rtt_ms,retransmissions,timeouts,link_drops,srtt_ms
aimd,0.59287425,0.552697304698256,64.0795372455982,0,0,0,64.0795372455982
q_learning,0.5934709590000002,0.5521415918179745,13.329736072916697,0,0,0,20.48057901021373
